Sentence #	Word	POS	Tag
1	Risk	NN	O
1	to	IN	O
1	Chch	NNP	B-GPE
1	art	NN	O
1	treasures	NNS	O
1	revealed	VBN	O
1	in	IN	O
1	council	NN	O
1	report	NN	O
2	by	IN	O
2	Peter	NNP	B-PERSON
2	Mathias	NNP	I-PERSON
3	The	DT	O
3	potential	JJ	O
3	fire	NN	O
3	and	CC	O
3	earthquake	NN	O
3	risks	NNS	O
3	at	IN	O
3	the	DT	O
3	Robert	NNP	B-ORG
3	McDougall	NNP	I-ORG
3	Art	NNP	I-ORG
3	Gallery	NNP	I-ORG
3	are	VBP	O
3	highlighted	VBN	O
3	in	IN	O
3	a	DT	O
3	report	NN	O
3	to	IN	O
3	the	DT	O
3	Christchurch	NNP	B-GPE
3	City	NNP	I-GPE
3	Council	NNP	I-GPE
4	The	DT	O
4	council	NN	O
4	's	POS	O
4	internal	JJ	O
4	audit	NN	O
4	unit	NN	O
4	identified	VBD	O
4	work	NN	O
4	costing	VBG	O
4	$	$	O
4	169,000	CD	B-MONEY
4	,	,	O
4	including	VBG	O
4	the	DT	O
4	installation	NN	O
4	of	IN	O
4	a	DT	O
4	sprinkler	NN	O
4	system	NN	O
4	and	CC	O
4	smoke	NN	O
4	detectors	NNS	O
4	to	TO	O
4	protect	VB	O
4	the	DT	O
4	$	$	O
4	18	CD	B-MONEY
4	million	CD	I-MONEY
4	art	NN	O
4	collection	NN	O
5	The	DT	O
5	report	NN	O
5	said	VBD	O
5	that	IN	O
5	the	DT	O
5	gallery	NN	O
5	,	,	O
5	and	CC	O
5	particularly	RB	O
5	its	PRP$	O
5	south	JJ	O
5	wing	NN	O
5	,	,	O
5	represented	VBD	O
5	an	DT	O
5	earthquake	NN	O
5	risk	NN	O
5	because	IN	O
5	of	IN	O
5	the	DT	O
5	low	JJ	O
5	amount	NN	O
5	of	IN	O
5	reinforcing	VBG	O
5	steel	NN	O
5	and	CC	O
5	cement	NN	O
5	used	VBN	O
5	in	IN	O
5	its	PRP$	O
5	construction	NN	O
5	in	IN	O
5	1932	CD	B-DATE
5	.	.	O
6	The	DT	O
6	gallery	NN	O
6	used	VBD	O
6	a	DT	O
6	halon	NN	O
6	gas	NN	O
6	flooding	NN	O
6	system	NN	O
6	that	WDT	O
6	was	VBD	O
6	less	RBR	O
6	effective	JJ	O
6	than	IN	O
6	a	DT	O
6	sprinkler	NN	O
6	system	NN	O
6	,	,	O
6	but	CC	O
6	would	MD	O
6	not	RB	O
6	cause	VB	O
6	water	NN	O
6	damage	NN	O
6	to	IN	O
6	paintings	NNS	O
6	.	.	O
7	This	DT	O
7	system	NN	O
7	did	VBD	O
7	not	RB	O
7	cover	VB	O
7	the	DT	O
7	painting	NN	O
7	storage	NN	O
7	area	NN	O
7	in	IN	O
7	the	DT	O
7	north	NN	O
7	wing	NN	O
7	.	.	O
8	Nor	CC	O
8	did	VBD	O
8	the	DT	O
8	gallery	NN	O
8	have	VB	O
8	any	DT	O
8	fire	NN	O
8	hose	NN	O
8	reels	NNS	O
8	,	,	O
8	apparently	RB	O
8	because	IN	O
8	of	IN	O
8	concern	NN	O
8	over	IN	O
8	potential	JJ	O
8	water	NN	O
8	damage	NN	O
8	to	IN	O
8	paintings	NNS	O
8	.	.	O
9	The	DT	O
9	gallery	NN	O
9	also	RB	O
9	needed	VBD	O
9	improvements	NNS	O
9	costing	VBG	O
9	$	$	O
9	52,000	CD	B-MONEY
9	to	TO	O
